hs_code,type,year,volume
842810,import,2022,285.389
842810,import,2023,299.991
842810,import,2024,306.845
842810,production,2022,286
842810,production,2023,300
842810,production,2024,307
842810,consumption,2022,285
842810,consumption,2023,299
842810,consumption,2024,306
330300,import,2022,563.25
330300,import,2023,350.971
330300,import,2024,549.088
330300,production,2022,660
330300,production,2023,460
330300,production,2024,657
330300,consumption,2022,591
330300,consumption,2023,368
330300,consumption,2024,576
847290,import,2022,292.719
847290,import,2023,190.851
847290,import,2024,207.273
847290,production,2022,317
847290,production,2023,205
847290,production,2024,224
847290,consumption,2022,307
847290,consumption,2023,200
847290,consumption,2024,217
